"","Corpus","Aptitude","Rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","5k1k","100p","rank20P","0.0561186725444341","0.107187434147241","0.0722109342969922","0.0269617725606465","0.0298539450783362","0.0488723766537673","0.0712725313966278","0.0908470709050991","0.101196119718635","0.098510335302683","0.0838039510802594","0.0623032177617533","0.0404778347971253","0.0229866232078333","0.0117155431813591","0.0100884464664416","0.0248780827845753","0.029378479844314","0.0113366282718764","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","5k1k","100p","rank40P","0.0753705770103432","0.0530863738045829","0.0746675839473121","0.0958647906372461","0.112347870909875","0.120184842522475","0.117358317297739","0.104606170931611","0.0851098196197845","0.0632092142151597","0.0428507709533377","0.0265163252541984","0.0288273428963359","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","5k2k","20p","rank10P","0.421873896406749","0.221031166707055","0.14960379330452","0.116766199930708","0.0907249436509677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","5k2k","20p","rank20P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","5k2k","20p","rank30P","0.309906573123976","0.207544025887399","0.134578592188935","0.185703521931427","0.162267286868264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","5k2k","20p","rank40P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","5k2k","20p","rank50P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","5k2k","20p","rank60P","0.237098277455786","0.233393153327357","0.244354765381603","0.171866871992088","0.081192426146897","0.0257521012858304","0.00548058496041082","0.000861819450028167","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","5k2k","20p","rank70P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","5k2k","20p","rank80P","0.362015075450976","0.297301524876796","0.277530937003264","0.0631524626689637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","5k2k","20p","rank90P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","5k2k","20p","rank100P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","5k2k","40p","rank10P","0.064099890933769","0.0326705455736427","0.0434986061922801","0.0551641112146553","0.0666346834720155","0.0766666632420405","0.0840185830357669","0.0877014453624772","0.0871968454559913","0.0825766801704751","0.0744863449285902","0.0639968303566135","0.0523724339521136","0.040823426899552","0.0303094783883003","0.0214343167684048","0.014437861134771","0.0092631339638849","0.00566075962582568","0.00698735932883043","0"
"62","5k2k","40p","rank20P","0.382797241997884","0.617202758002116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","5k2k","40p","rank30P","0.0286809014733933","0.0360448763226268","0.0635509789613722","0.0963047163633159","0.125454207550464","0.14054659810487","0.135581111784598","0.113043238207726","0.0823559974138038","0.0540275669927289","0.0342532242500682","0.0234556125147561","0.0184325892839637","0.0155068528916386","0.0125120123497345","0.00905803924031456","0.00572202590609017","0.00546945038853452","0","0","0"
"64","5k2k","40p","rank40P","0.349288879616166","0.650711120383834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","5k2k","40p","rank50P","0.516404124878522","0.483595875121478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","5k2k","40p","rank70P","0.303628074273457","0.696371925726543","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","5k2k","40p","rank90P","0.497437685828922","0.491517558040097","0.0110447561309812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","5k2k","40p","rank100P","0.66153888048931","0.33846111951069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","5k2k","60p","rank10P","0","0","0","0","0","0","0","0.0191871392084855","0.0355913744459916","0.0620861531694199","0.0758265343605316","0.0650902062433731","0.0409722096332326","0.0269886582547913","0.0410224347333428","0.0863710766004462","0.140813839477804","0.162196549587702","0.130872786989131","0.112981037295748","0"
"72","5k2k","60p","rank20P","0.0112589141162742","0.200129125640877","0.539817742592814","0.248794217650035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","5k2k","60p","rank40P","0.0270211087707702","0.167161484883218","0.805817406346012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","5k2k","60p","rank50P","0.115082000847536","0.343557674055621","0.541360325096842","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","5k2k","60p","rank70P","0","0.464431507006499","0.352784521521574","0.136811714254894","0.0272917249175565","0.00295908024349145","0.0157214520559852","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","5k2k","80p","rank20P","0.00634692569629931","0.0602641009023302","0.0072068972233679","0.300673638430427","0.264730807803309","0.211066706081701","0.126112483696764","0.0235984401658019","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","5k2k","80p","rank40P","0","0.0709599843961178","0.0595754435740904","0.515729726154544","0.190059997134154","0.138941393154993","0.0247334555861012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","5k2k","80p","rank50P","0.118934816297813","0.1599670340078","0.217560034672589","0.205540539496496","0.135848423785972","0.0659096488609412","0.0302696872096371","0.021490613311045","0.0194063157882149","0.0142023590715524","0.0108705274979395","0","0","0","0","0","0","0","0","0","0"
"86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","5k2k","100p","rank20P","0.0608890083216483","0.103323063052898","0.0648019117432276","0.0395591992825719","0.0524475559804548","0.0712771554100214","0.0874030008037324","0.0964761447504044","0.0958577885235494","0.0857331353881954","0.0690213362673073","0.0500184744181328","0.0326278579568916","0.0191582532399248","0.0101258207394636","0.0048194132975854","0.00424213853770961","0.0349195536801746","0.017299188606107","0","0"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","5k2k","100p","rank40P","0.0863988905860423","0.0568257172142041","0.0778354618530938","0.0976558674711528","0.112229750168171","0.118142679181394","0.113918675774033","0.100617203603713","0.0814026327285718","0.0603244019286263","0.0409482382699571","0.0254603333671747","0.0282401478538662","0","0","0","0","0","0","0","0"
"95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","5k3k","20p","rank10P","0.321577892569536","0.362047553990986","0.1086447973328","0.164614268273258","0.0431154878334191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","5k3k","20p","rank20P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","5k3k","20p","rank30P","0.326489341325305","0.181596893934316","0.255155628184933","0.175717889301697","0.0610402472537488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","5k3k","20p","rank40P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","5k3k","20p","rank50P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","5k3k","20p","rank60P","0.223541847744933","0.236085949458064","0.251793961599156","0.176672890518","0.0815345643027231","0.0247369565509694","0.00493030466282518","0.000703525163329943","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","5k3k","20p","rank70P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","5k3k","20p","rank80P","0.392438613814","0.271226227742202","0.310799678164072","0.0255354802797263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","5k3k","20p","rank90P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","5k3k","20p","rank100P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","5k3k","40p","rank10P","0.0629249343369247","0.0334726496570661","0.0450059368760024","0.0574523241455296","0.0696311555690088","0.0801231299678983","0.0875327525324954","0.0907907669424085","0.0894069383666198","0.0835909369162608","0.0742002826325476","0.0625331436414559","0.0500349203395027","0.0380096874162074","0.0274140612079771","0.018771988815225","0.0122040739990138","0.0169003166378562","0","0","0"
"112","5k3k","40p","rank20P","0.511401453600416","0.488598546399584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","5k3k","40p","rank30P","0.0447406691807098","0.0472616238182327","0.0760212472592537","0.106164935914329","0.128746827548596","0.13566130184171","0.124416891911579","0.0998043978782672","0.0710099881767879","0.0464790140731092","0.0302764948851757","0.0217965423441548","0.0179036857727753","0.0154401316079636","0.0126621553124755","0.00934095132849166","0.00605863758188097","0.00621450356450937","0","0","0"
"114","5k3k","40p","rank40P","0.378421889493907","0.621578110506093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","5k3k","40p","rank50P","0.585253851360387","0.414746148639613","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","5k3k","40p","rank70P","0.357563377279295","0.642436622720705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","5k3k","40p","rank90P","0.512443367820792","0.476566621732741","0.0109900104464673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","5k3k","40p","rank100P","0.626796578416481","0.373203421583519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","5k3k","60p","rank10P","0","0","0","0","0","0","0","0.0309175906506518","0.0958040382308381","0.106402002625126","0.0400004901209263","0.0201123758166667","0.0563928584717782","0.0661780270748947","0.0257065923008155","0.0101709601069903","0.0666988902404677","0.203819198169821","0.203894562954578","0.0739024132364444","0"
"122","5k3k","60p","rank20P","0.0299938786649535","0.298838318539913","0.511203196202991","0.159964606592142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","5k3k","60p","rank40P","0.0011538328727787","0.112151501167106","0.885464260893431","0.0012304050666837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","5k3k","60p","rank50P","0.112029291461561","0.290537294652134","0.597433413886305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","5k3k","60p","rank70P","0.0603128841754298","0.341363834110109","0.441598196487475","0.127238641923765","0.00899097814300387","0.00730171034222038","0.0131937548179967","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","5k3k","80p","rank20P","0.0440133224823015","0.0205608911993989","0.0661442715350278","0.393859697143614","0.256216972326321","0.0903304549615245","0.107656425395211","0.0212179649566001","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","5k3k","80p","rank40P","0.0141371104512753","0.0753457967681377","0.0920456253697963","0.511374052923212","0.191283438594302","0.0704555630938386","0.0453584127994382","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","5k3k","80p","rank50P","0.106690007458045","0.147610012767969","0.208489905360562","0.207587413692167","0.147624248215424","0.0797300928870592","0.0405496081318754","0.0260352370246891","0.0185311172137694","0.0171523572484388","0","0","0","0","0","0","0","0","0","0","0"
"136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","5k3k","100p","rank20P","0.067957208066024","0.0874361866219785","0.0543805362155627","0.0425111263881492","0.0545823230935631","0.0687594152162955","0.0807981936665819","0.0885067785606123","0.090376644749652","0.0860281767849496","0.0763361030569699","0.0631428037133089","0.0486880192619021","0.0349964821404707","0.0234493223997663","0.0146466843789433","0.00852807238983","0.00462875602073098","0.00424716727470864","0","0"
"143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","5k3k","100p","rank40P","0.0669548414932526","0.0497586416738934","0.0715553133676262","0.0936974556314049","0.1117190054318","0.121294249299518","0.119913339579894","0.107946580086958","0.0884838600315924","0.0660438545625236","0.044886222811406","0.0277782476287073","0.0299683884014246","0","0","0","0","0","0","0","0"
"145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","5k4k","20p","rank10P","0.323942279737272","0.321670954406909","0.127601414699261","0.182350196718734","0.0444351544378241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","5k4k","20p","rank20P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","5k4k","20p","rank30P","0.286944557493786","0.246580013563235","0.202696479213231","0.206770209647964","0.0570087400817838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","5k4k","20p","rank40P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","5k4k","20p","rank50P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","5k4k","20p","rank60P","0.233897786545844","0.240710591180518","0.250701703057623","0.171048061482776","0.0764300671450545","0.0223545477513579","0.00427657517746038","0.000580667659366263","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","5k4k","20p","rank70P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","5k4k","20p","rank80P","0.390747464439528","0.269355056861505","0.276759469898498","0.0631380088004693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","5k4k","20p","rank90P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","5k4k","20p","rank100P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","5k4k","40p","rank10P","0.047252162765004","0.0383343568804538","0.0568017602546764","0.0760181331142504","0.0919284557674047","0.100557780689278","0.0997406417632805","0.0902074576934858","0.0753174759235206","0.0595477277315702","0.0466009184357157","0.0381361515642649","0.0336375879453017","0.0312493994581777","0.028968722173712","0.0255656989255812","0.0208869921064407","0.0155799922329111","0.0105437386583958","0.0131248459165751","0"
"162","5k4k","40p","rank20P","0.569069012463548","0.430930987536452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","5k4k","40p","rank30P","0.0404518473356652","0.0444935705968269","0.072901741692559","0.103333184984622","0.126776323814131","0.134815651596219","0.124714842351008","0.101290509791534","0.0738500906913551","0.0506782441882618","0.035287226020432","0.0264956125015794","0.0210983451516351","0.0165331204543537","0.0119315240317444","0.00764717131779946","0.00428351599395227","0.00341747748632171","0","0","0"
"164","5k4k","40p","rank40P","0.402605027453696","0.597394972546304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","5k4k","40p","rank50P","0.54684327576849","0.45315672423151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","5k4k","40p","rank70P","0.370299168531933","0.629700831468067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","5k4k","40p","rank90P","0.482438765338894","0.506455164455826","0.0111060702052801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","5k4k","40p","rank100P","0.626796578416481","0.373203421583519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171","5k4k","60p","rank10P","0","0","0","0","0","0","0.0294169031794312","0.0480801136904556","0.0746327147174939","0.0797737021007398","0.0587524820032317","0.0301570531786456","0.0131699620440061","0.0157267050798372","0.0435622082478955","0.0968567080372112","0.149528500291753","0.15902320037636","0.116458972349421","0.0848607747035184","0"
"172","5k4k","60p","rank20P","0.025039794957563","0.292584357167151","0.526266581709408","0.156109266165877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","5k4k","60p","rank40P","1.47585094073878e-05","0.253511618382016","0.746473623108577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","5k4k","60p","rank50P","0.0885496058796579","0.28068418301337","0.630766211106973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","5k4k","60p","rank70P","0.0818969358467253","0.287520215686545","0.396549944065451","0.196874405736104","0.0349287357816335","0.00218220227435995","4.75606091823177e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
