"","Corpus","Aptitude","Rank","1","2","3","4","5","6","7","8","9"
"1","5k1k","20p","LD1","0.949999494814098","0.0487264567617082","0.0012740484241941","0","0","0","0","0","0"
"2","5k1k","20p","LD2","0","0.921657702154656","0.0782471686944448","9.51291508990426e-05","0","0","0","0","0"
"3","5k1k","20p","LD3","0","0","0.890174171475552","0.109825828524448","0","0","0","0","0"
"4","5k1k","20p","LDother","0","0","0","1","0","0","0","0","0"
"5","5k1k","40p","LD1","0.783200967245179","0.142579802528669","0.0738796167726357","0.000339613453516296","0","0","0","0","0"
"6","5k1k","40p","LD2","0","0.638611873031916","0.323140195879658","0.0382479310884224","0","0","0","0","0"
"7","5k1k","40p","LD3","0","0","0.699557009610643","0.281496591514347","0.0189463988750094","0","0","0","0"
"8","5k1k","40p","LDother","0","0","0","0.401293674317077","0.493056552016068","0.105649773666855","0","0","0"
"9","5k1k","60p","LD1","0.658917966921219","0.186501450888436","0.13177888434719","0.0228016977853109","5.78443959398101e-11","0","0","0","0"
"10","5k1k","60p","LD2","0","0.509216070644967","0.330575831473765","0.15990429061693","0.000303807264339206","0","0","0","0"
"11","5k1k","60p","LD3","0","0","0.655913941581929","0.268817215580759","0.0752613487391174","7.49409819444935e-06","0","0","0"
"12","5k1k","60p","LDother","0","0","0","0.580871756807087","0.419128243192913","0","0","0","0"
"13","5k1k","80p","LD1","0.512592592589544","0.21037037037312","0.180740740739219","0.0962962961000607","1.98056127054258e-10","0","0","0","0"
"14","5k1k","80p","LD2","0","0.435374402119004","0.349120485687337","0.212495303610599","0.00300980858306066","2.22044604925031e-16","0","0","0"
"15","5k1k","80p","LD3","0","0","0.584374474466543","0.367743312467142","0.0478822130663152","0","0","0","0"
"16","5k1k","80p","LDother","0","0","0","0.682371852001376","0.317628147998624","0","0","0","0"
"17","5k1k","100p","LD1","0.272976813658611","0.2091290535779","0.296212747421992","0.220261870654671","0.00141951468682611","0","0","0","0"
"18","5k1k","100p","LD2","0","0.277096681529109","0.369819092010552","0.271805823420248","0.0777759657727908","0.00350243726729949","7.7715611723761e-16","0","0"
"19","5k1k","100p","LD3","0","0","0.42295679901187","0.322886679397989","0.254156521590141","0","0","0","0"
"20","5k1k","100p","LDother","0","0","0","0.242810686889851","0.245096451182664","0.249918397157688","0.165994408156153","0.0717953450987032","0.0243847115149413"
"21","5k2k","20p","LD1","0.876174553168214","0.0991509000243748","0.0246745467552515","5.21632737005007e-11","0","0","0","0","0"
"22","5k2k","20p","LD2","0","0.847597589572322","0.148787226781215","0.00361518364646096","0","0","0","0","0"
"23","5k2k","20p","LD3","0","0","0.918026980073754","0.081612268654207","0.000360751272038828","0","0","0","0"
"24","5k2k","20p","LDother","0","0","0","1","0","0","0","0","0"
"25","5k2k","40p","LD1","0.677781853994668","0.199136558044208","0.110051651787984","0.0130299361730969","4.51860771022439e-14","0","0","0","0"
"26","5k2k","40p","LD2","0","0.58611434454274","0.318765333083494","0.0950702018278932","5.01205458719456e-05","0","0","0","0"
"27","5k2k","40p","LD3","0","0","0.638201799976847","0.288754859928208","0.073036346308569","6.99378637625259e-06","0","0","0"
"28","5k2k","40p","LDother","0","0","0","0.379731432689967","0.489482449303058","0.130786118006974","0","0","0"
"29","5k2k","60p","LD1","0.582072176949942","0.220023282887078","0.139697322467986","0.0582072176949937","4.44089209850063e-16","0","0","0","0"
"30","5k2k","60p","LD2","0","0.441175325017916","0.355512804501597","0.199921972095625","0.00338989838486004","5.55111512312578e-16","0","0","0"
"31","5k2k","60p","LD3","0","0","0.513449300010391","0.399530299310064","0.0870204006795456","0","0","0","0"
"32","5k2k","60p","LDother","0","0","0","1","0","0","0","0","0"
"33","5k2k","80p","LD1","0.374203821656044","0.277070063694271","0.230891719745209","0.1178343949038","6.76347866601645e-13","0","0","0","0"
"34","5k2k","80p","LD2","0","0.398958554137845","0.368348802687557","0.230043353305941","0.00264928986866031","0","0","0","0"
